id_cliente,probabilidade_inadimplencia
100023,0.000253479
100031,0.000527298
100056,0.00067518
100069,0.000388135
100085,0.00044217
100098,0.000240682
100104,0.155749634
100111,0.00030918
100123,0.000374039
100165,0.000218143
100178,0.000241041
100193,0.000304949
100200,0.000240455
100208,0.00017307
100219,0.000211697
100233,0.000211068
100237,0.00071702
100258,0.006273696
100265,0.000270804
100266,0.010784959
100276,0.000244879
100281,0.000312304
100298,0.000361376
100301,0.02039518
100307,0.000818113
100317,0.000200731
100318,0.000507223
100332,0.000225656
100341,0.000324604
100342,0.000561917
100353,0.000207148
100374,0.010445437
100403,0.000148282
100406,0.003534255
100410,0.000220997
100414,0.000179133
100418,0.005122869
100437,0.000220274
100449,0.000378268
100458,0.000255561
100459,0.000543929
100462,0.000458285
100471,0.000314056
100493,0.000215193
100498,0.000232609
100505,0.000358708
100521,0.00038881
100525,0.006016931
100562,0.000253918
100565,0.000293692
100567,0.000324216
100597,0.000410258
100628,0.000603632
100654,0.000420658
100657,0.000590772
100675,0.006993292
100678,0.007970996
100685,0.000256327
100693,0.000318027
100712,0.000605407
100736,0.000352758
100746,0.013625781
100759,0.000199493
100783,0.000417073
100785,0.000279854
100806,0.041849729
100813,0.000319321
100815,0.000401694
100824,0.000309028
100827,0.000683247
100828,0.000295504
100846,0.000613052
100854,0.000603497
100857,0.000508945
100875,0.00036877
100877,0.000341916
100890,0.000424244
100893,0.000185884
100895,0.000253608
100900,0.001396823
100909,0.000386324
100914,0.000466474
100927,0.053576201
100928,0.000520656
100943,0.000413633
100949,0.000253898
100962,0.001752754
100995,0.00669964
101028,0.000303511
101032,0.010337575
101042,0.000543992
101066,0.000274486
101077,0.000226929
101082,0.000315957
101083,0.000371229
101093,0.000463011
101108,0.009999826
101112,0.000597449
101133,0.00047063
101166,0.00025089
101195,0.000542695
101205,0.000292987
101253,0.000285774
101254,0.00026875
101265,0.000413853
101267,0.012843253
101319,0.000345179
101321,0.0007669
101331,0.000314762
101334,0.000275235
101352,0.00031055
101357,0.000370001
101358,0.000392682
101390,0.001255091
101391,0.0004079
101402,0.035753489
101408,0.000264959
101414,0.000527115
101438,0.000702047
101442,0.000329845
101445,0.000181569
101451,0.000368139
101455,0.000271853
101458,0.000228436
101459,0.000206829
101461,0.000321434
101475,0.14141278
101487,0.000214174
101498,0.000419159
101502,0.044295158
101520,0.002732959
101529,0.000278057
101531,0.00015737
101535,0.00032701
101540,0.007910789
101564,0.000326801
101565,0.00046926
101574,0.00023597
101583,0.000384063
101587,0.000491165
